pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
501,X SERIES MINI CASE ( OEM ),ACCESSORIES,4.5,15,192,"","",10.5,DCP-501,"",718,"0","0","0",8,"0","0","","","","0"
502,INSTA360 ACE PRO*,INSTA360,1130,1599,2,"","",469,DCP-502,"",10,"0","0","0",8,"0","0","","","","0"
503,INSTA360 QUICK RELEASE MOUNT (NEW VERSION)*,INSTA360,112,199,"0","","",87,DCP-503,"",96,"0","0","0",8,"0","0","","","","0"
504,INSTA360 EXTENDED EDITION SELFIE STICK ( NEW VERSION )*,INSTA360,320,499,2,"","",179,DCP-504,"",120,"0","0","0",8,"0","0","","","","0"
505,INSTA360 X4 MIC ADAPTER,INSTA360,70,99,9,"","",29,DCP-505,"",12,"0","0","0",10,"0","0","","","","0"
506,INSTA360 X4 UTILITY FRAME,INSTA360,208,309,"0","","",101,DCP-506,"",8,"0","0","0",10,"0","0","","","","0"
507,INSTA360 SELFIE STICK WRIST STRAP,INSTA360,29,49,"0","","",20,DCP-507,"",7,"0","0","0",10,"0","0","","","","0"
508,INSTA360 MOTORCYCLE U-BOLT MOUNT ,INSTA360,138,199,"0","","",61,DCP-508,"",2,"0","0","0",10,"0","0","","","","0"
509,INSTA360 HEAVY DUTY CLAMP,INSTA360,138,199,"0","","",61,DCP-509,"",11,"0","0","0",10,"0","0","","","","0"
510,ULANZI COLD SHOE FOR X SERIES,ULANZI,70,99,"0","","",29,DCP-510,"",16,"0","0","0",10,"0","0","","","","0"
511,INSTA360 MOTORCYCLE SELFIE STICK SUPPORT CLAMP,INSTA360,190,279,1,"","",89,DCP-511,"",2,"0","0","0",10,"0","0","","","","0"
512,INSTA360 UNICORN HELMET MOUNT ,INSTA360,138,199,"0","","",61,DCP-512,"",2,"0","0","0",10,"0","0","","","","0"
513,INSTA360 SELFIE STICK RING MOUNT ,INSTA360,70,99,"0","","",29,DCP-513,"",11,"0","0","0",10,"0","0","","","","0"
514,INSTA360 BIKE HEADSET CAP MOUNT ,INSTA360,115,199,1,"","",84,DCP-514,"",14,"0","0","0",10,"0","0","","","","0"
515,INSTA360 SELFIE STICK SLEEVE,INSTA360,25,59,"0","","",34,DCP-515,"",2,"0","0","0",10,"0","0","","","","0"
516,INSTA360 ACE PRO & ACE MIC ADAPTER*,INSTA360,50,99,"0","","",49,DCP-516,"",11,"0","0","0",8,"0","0","","","","0"
517,DJI MINI BAG,ACCESSORIES,"0",89,"0","","",89,DCP-517,"",6,"0","0","0",8,"0","0","","","","0"
518,EDOR BULLET TIME TRIPOD,EDOR,25,80,165,"","",55,DCP-518,"",18,"0","0","0",8,"0","0","","","","0"
