pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
118,DJI MAVIC PRO CAMERA SENSOR,DJI,100,450,"0","","",350,DCP-118,"",1,"0","0","0",9,"0","0","","","","0"
119,DJI MAVIC AIR FRONT CAMERA GLASS,DJI,"0",50,"0","","",50,DCP-119,"",1,"0","0","0",9,"0","0","","","","0"
120,REPLACE DJI MAVIC PRO BATTERY CELLS ( 4 MONTHS WARRANTY ),DJI,170,250,"0","","",80,DCP-120,"",26,"0","0","0",9,"0","0","","","","0"
121,DJI MAVIC 2 PRO/ZOOM TOP SHELL,DJI,20,90,"0","","",70,DCP-121,"",1,"0","0","0",9,"0","0","","","","0"
122,DJI MAVIC PRO REAR HINGE,DJI,10,80,"0","","",70,DCP-122,"",5,"0","0","0",9,"0","0","","","","0"
123,DJI NEO CAMERA GLASS,DJI,"0",50,"0","","",50,DCP-123,"",2,"0","0","0",10,"0","0","","","","0"
124,REPLACE DJI MAVIC AIR BATTERY CELLS ( HIGH CAPACITY ) ( 4 MONTHS WARRANTY ),DJI,180,280,"0","","",100,DCP-124,"",3,"0","0","0",9,"0","0","","","","0"
125,REPLACE DJI MINI 2 BATTERY CELLS ( HIGH CAPACITY ) ( 4 MONTHS WARRANTY ),DJI,130,200,"0","","",70,DCP-125,"",11,"0","0","0",9,"0","0","","","","0"
126,DJI PHANTOM 4 GIMBAL YAW MOTOR,DJI,95,350,"0","","",255,DCP-126,"",3,"0","0","0",8,"0","0","","","","0"
127,REPAIR DJI RC-N1 CONTROLLER BOARD,DJI,50,180,"0","","",130,DCP-127,"",40,"0","0","0",9,"0","0","","","","0"
128,DJI MAVIC AIR 2S GIMBAL PITCH MOTOR,DJI,100,350,"0","","",250,DCP-128,"",2,"0","0","0",9,"0","0","","","","0"
129,DJI FLIP HINGE,DJI,30,90,48,"","",60,DCP-129,"",5,"0","0","0",9,"0","0","","","","0"
130,DJI MAVIC AIR 2 REAR RIGHT ARM,DJI,90,220,3,"","",130,DCP-130,"",4,"0","0","0",9,"0","0","","","","0"
131,DJI MAVIC AIR 2/2S FRONT HINGE,DJI,15,40,4,"","",25,DCP-131,"",6,"0","0","0",8,"0","0","","","","0"
132,DJI MAVIC AIR 2 YAW MOTOR COVER,DJI,"0",20,"0","","",20,DCP-132,"",2,"0","0","0",9,"0","0","","","","0"
133,DJI MAVIC 3 FRONT LANDING GEAR,DJI,20,90,1,"","",70,DCP-133,"",2,"0","0","0",9,"0","0","","","","0"
134,REPAIR DJI MAVIC PRO MAINBOARD,DJI,100,700,"0","","",600,DCP-134,"",3,"0","0","0",9,"0","0","","","","0"
135,DJI MAVIC AIR 2 FRONT LEFT ARM,DJI,120,250,"0","","",130,DCP-135,"",3,"0","0","0",10,"0","0","","","","0"
136,DJI AIR 3 GIMBAL RIBBON,DJI,50,120,"0","","",70,DCP-136,"",4,"0","0","0",9,"0","0","","","","0"
137,DJI MAVIC MINI GIMBAL RIBBON,DJI,50,180,1,"","",130,DCP-137,"",11,"0","0","0",8,"0","0","","","","0"
138,DJI MAVIC MINI PTZ CABLE,DJI,10,190,"0","","",180,DCP-138,"",1,"0","0","0",8,"0","0","","","","0"
